temp,pressure,pH,p_CO2,Na,Cl,Mg,Ca,Ba,K,S,C,calcite,site_dens,sp_area,zeta
25,1,7.0,3.4,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6,4.95,2.0,-0.0026587
25,1,7.0,3.4,0.095,0.085,0.0,0.0,0.0,0.0,0.0,0.005,0.6,4.95,2.0,-0.017419
25,1,7.0,3.4,0.09,0.07,0.0,0.0,0.0,0.0,0.0,0.01,0.6,4.95,2.0,-0.025154
25,1,7.0,3.4,0.085,0.055,0.0,0.0,0.0,0.0,0.0,0.015,0.6,4.95,2.0,-0.030231
25,1,7.0,3.4,0.08,0.04,0.0,0.0,0.0,0.0,0.0,0.02,0.6,4.95,2.0,-0.034153
25,1,7.0,3.4,0.075,0.025,0.0,0.0,0.0,0.0,0.0,0.025,0.6,4.95,2.0,-0.037452
25,1,7.0,3.4,0.0667,0.0,0.0,0.0,0.0,0.0,0.0,0.0333,0.6,4.95,2.0,-0.042198
25,1,7.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.0087535
25,1,7.0,0.0,0.095,0.085,0.0,0.0,0.0,0.0,0.0,0.005,0.6,4.95,2.0,0.0077734
25,1,7.0,0.0,0.09,0.07,0.0,0.0,0.0,0.0,0.0,0.01,0.6,4.95,2.0,0.0066471
25,1,7.0,0.0,0.085,0.055,0.0,0.0,0.0,0.0,0.0,0.015,0.6,4.95,2.0,0.0040492
25,1,7.0,0.0,0.08,0.04,0.0,0.0,0.0,0.0,0.0,0.02,0.6,4.95,2.0,0.0014921
25,1,7.0,0.0,0.075,0.025,0.0,0.0,0.0,0.0,0.0,0.025,0.6,4.95,2.0,-0.00092879
25,1,7.0,0.0,0.0667,0.0,0.0,0.0,0.0,0.0,0.0,0.0333,0.6,4.95,2.0,-0.0046883
25,1,7.0,3.4,0.085,0.095,0.0,0.005,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.0051075
25,1,7.0,3.4,0.07,0.09,0.0,0.01,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.0090643
