temp,pressure,pH,p_CO2,Na,Cl,Mg,Ca,Ba,K,S,C,calcite,site_dens,sp_area,zeta
25,1,7.0,3.4,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.0037063
25,1,7.0,3.4,0.095,0.085,0.0,0.0,0.0,0.0,0.0,0.005,0.6,4.95,2.0,-0.0029716
25,1,7.0,3.4,0.09,0.07,0.0,0.0,0.0,0.0,0.0,0.01,0.6,4.95,2.0,-0.0068035
25,1,7.0,3.4,0.085,0.055,0.0,0.0,0.0,0.0,0.0,0.015,0.6,4.95,2.0,-0.0098568
25,1,7.0,3.4,0.08,0.04,0.0,0.0,0.0,0.0,0.0,0.02,0.6,4.95,2.0,-0.012409
25,1,7.0,3.4,0.075,0.025,0.0,0.0,0.0,0.0,0.0,0.025,0.6,4.95,2.0,-0.014636
25,1,7.0,3.4,0.0667,0.0,0.0,0.0,0.0,0.0,0.0,0.0333,0.6,4.95,2.0,-0.017899
25,1,7.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.013048
25,1,7.0,0.0,0.095,0.085,0.0,0.0,0.0,0.0,0.0,0.005,0.6,4.95,2.0,0.012295
25,1,7.0,0.0,0.09,0.07,0.0,0.0,0.0,0.0,0.0,0.01,0.6,4.95,2.0,0.011716
25,1,7.0,0.0,0.085,0.055,0.0,0.0,0.0,0.0,0.0,0.015,0.6,4.95,2.0,0.0097599
25,1,7.0,0.0,0.08,0.04,0.0,0.0,0.0,0.0,0.0,0.02,0.6,4.95,2.0,0.0079068
25,1,7.0,0.0,0.075,0.025,0.0,0.0,0.0,0.0,0.0,0.025,0.6,4.95,2.0,0.0062784
25,1,7.0,0.0,0.0667,0.0,0.0,0.0,0.0,0.0,0.0,0.0333,0.6,4.95,2.0,0.0040769
25,1,7.0,3.4,0.085,0.095,0.0,0.005,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.012115
25,1,7.0,3.4,0.07,0.09,0.0,0.01,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.016252
25,1,7.0,3.4,0.055,0.085,0.0,0.015,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.019039
25,1,7.0,3.4,0.04,0.08,0.0,0.02,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.021188
25,1,7.0,3.4,0.025,0.075,0.0,0.025,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.022967
25,1,7.0,3.4,0.0,0.0667,0.0,0.0333,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.025445
25,1,7.0,0.0,0.085,0.095,0.0,0.005,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.016429
25,1,7.0,0.0,0.07,0.09,0.0,0.01,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.018826
25,1,7.0,0.0,0.055,0.085,0.0,0.015,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.020726
25,1,7.0,0.0,0.04,0.08,0.0,0.02,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.022326
25,1,7.0,0.0,0.025,0.075,0.0,0.025,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.023726
