temp,pressure,pH,p_CO2,Na,Cl,Mg,Ca,Ba,K,S,C,calcite,site_dens,sp_area,zeta
25,1,7.0,3.4,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6,4.95,2.0,-0.0066539
25,1,7.0,3.4,0.095,0.085,0.0,0.0,0.0,0.0,0.0,0.005,0.6,4.95,2.0,-0.029521
25,1,7.0,3.4,0.09,0.07,0.0,0.0,0.0,0.0,0.0,0.01,0.6,4.95,2.0,-0.038088
25,1,7.0,3.4,0.085,0.055,0.0,0.0,0.0,0.0,0.0,0.015,0.6,4.95,2.0,-0.043266
25,1,7.0,3.4,0.08,0.04,0.0,0.0,0.0,0.0,0.0,0.02,0.6,4.95,2.0,-0.047126
25,1,7.0,3.4,0.075,0.025,0.0,0.0,0.0,0.0,0.0,0.025,0.6,4.95,2.0,-0.05031
25,1,7.0,3.4,0.0667,0.0,0.0,0.0,0.0,0.0,0.0,0.0333,0.6,4.95,2.0,-0.054813
25,1,7.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6,4.95,2.0,-0.0050836
25,1,7.0,0.0,0.095,0.085,0.0,0.0,0.0,0.0,0.0,0.005,0.6,4.95,2.0,-0.0094356
25,1,7.0,0.0,0.09,0.07,0.0,0.0,0.0,0.0,0.0,0.01,0.6,4.95,2.0,-0.012318
25,1,7.0,0.0,0.085,0.055,0.0,0.0,0.0,0.0,0.0,0.015,0.6,4.95,2.0,-0.016407
25,1,7.0,0.0,0.08,0.04,0.0,0.0,0.0,0.0,0.0,0.02,0.6,4.95,2.0,-0.020493
25,1,7.0,0.0,0.075,0.025,0.0,0.0,0.0,0.0,0.0,0.025,0.6,4.95,2.0,-0.024338
25,1,7.0,0.0,0.0667,0.0,0.0,0.0,0.0,0.0,0.0,0.0333,0.6,4.95,2.0,-0.030046
25,1,7.0,3.4,0.085,0.095,0.0,0.005,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.0063474
25,1,7.0,3.4,0.07,0.09,0.0,0.01,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.011246
25,1,7.0,3.4,0.055,0.085,0.0,0.015,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.014346
25,1,7.0,3.4,0.04,0.08,0.0,0.02,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.016658
25,1,7.0,3.4,0.025,0.075,0.0,0.025,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.01853
25,1,7.0,3.4,0.0,0.0667,0.0,0.0333,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.021076
25,1,7.0,0.0,0.085,0.095,0.0,0.005,0.0,0.0,0.0,0.0,0.6,4.95,2.0,-0.001268
25,1,7.0,0.0,0.07,0.09,0.0,0.01,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.0012842
25,1,7.0,0.0,0.055,0.085,0.0,0.015,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.0032306
25,1,7.0,0.0,0.04,0.08,0.0,0.02,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.0048187
25,1,7.0,0.0,0.025,0.075,0.0,0.025,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.0061695
25,1,7.0,0.0,0.0,0.0667,0.0,0.0333,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.0081133
25,1,7.0,3.4,0.085,0.095,0.005,0.0,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.0090399
25,1,7.0,3.4,0.07,0.09,0.01,0.0,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.013296
25,1,7.0,3.4,0.055,0.085,0.015,0.0,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.015938
25,1,7.0,3.4,0.04,0.08,0.02,0.0,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.01789
25,1,7.0,3.4,0.025,0.075,0.025,0.0,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.019458
25,1,7.0,3.4,0.0,0.0667,0.0333,0.0,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.021691
25,1,7.0,0.0,0.085,0.095,0.005,0.0,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.0047021
25,1,7.0,0.0,0.07,0.09,0.01,0.0,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.0089289
25,1,7.0,0.0,0.055,0.085,0.015,0.0,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.011731
25,1,7.0,0.0,0.04,0.08,0.02,0.0,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.01386
25,1,7.0,0.0,0.025,0.075,0.025,0.0,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.015596
25,1,7.0,0.0,0.0,0.0667,0.0333,0.0,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.017995
25,1,7.0,3.4,0.095,0.085,0.0,0.0,0.0,0.0,0.005,0.0,0.6,4.95,2.0,-0.015738
25,1,7.0,3.4,0.09,0.07,0.0,0.0,0.0,0.0,0.01,0.0,0.6,4.95,2.0,-0.019488
25,1,7.0,3.4,0.085,0.055,0.0,0.0,0.0,0.0,0.015,0.0,0.6,4.95,2.0,-0.022026
25,1,7.0,3.4,0.08,0.04,0.0,0.0,0.0,0.0,0.02,0.0,0.6,4.95,2.0,-0.024005
25,1,7.0,3.4,0.075,0.025,0.0,0.0,0.0,0.0,0.025,0.0,0.6,4.95,2.0,-0.025662
25,1,7.0,3.4,0.0667,0.0,0.0,0.0,0.0,0.0,0.0333,0.0,0.6,4.95,2.0,-0.028128
25,1,7.0,0.0,0.095,0.085,0.0,0.0,0.0,0.0,0.005,0.0,0.6,4.95,2.0,-0.0094412
25,1,7.0,0.0,0.09,0.07,0.0,0.0,0.0,0.0,0.01,0.0,0.6,4.95,2.0,-0.012093
25,1,7.0,0.0,0.085,0.055,0.0,0.0,0.0,0.0,0.015,0.0,0.6,4.95,2.0,-0.014114
25,1,7.0,0.0,0.08,0.04,0.0,0.0,0.0,0.0,0.02,0.0,0.6,4.95,2.0,-0.015796
25,1,7.0,0.0,0.075,0.025,0.0,0.0,0.0,0.0,0.025,0.0,0.6,4.95,2.0,-0.017265
25,1,7.0,0.0,0.0667,0.0,0.0,0.0,0.0,0.0,0.0333,0.0,0.6,4.95,2.0,-0.019403
25,1,7.0,3.4,0.0,0.01,0.0,0.005,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.013181
25,1,7.0,3.4,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.016981
25,1,7.0,4.7,0.0,0.001,0.0005,0.0,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.00021087
25,1,7.0,4.7,0.0,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.0039525
25,1,7.0,4.7,0.0,0.01,0.005,0.0,0.0,0.0,0.0,0.0,0.6,4.95,2.0,0.012307
25,1,7.0,5.2,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.6,4.95,2.0,-0.037901
25,1,7.0,5.6,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.6,4.95,2.0,-0.056596
25,1,7.0,5.6,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.6,4.95,2.0,-0.0578
25,1,7.0,4.9,0.001,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.6,4.95,2.0,-0.019436
25,1,7.0,4.9,0.01,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.6,4.95,2.0,-0.027169
25,1,7.0,5.4,0.1,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.6,4.95,2.0,-0.031537
25,1,7.0,3.4,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.6,4.95,2.0,-0.0075396
