temp, pressure, pH, p_CO2, Na, Cl, Mg, Ca, Ba, K, S, C, calcite, site_dens, sp_area, zeta
25, 1, 7.0, 3.4, 0.1, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6, 4.95, 2.0, 0.010
25, 1, 7.0, 3.4, 0.095, 0.085, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005, 0.6, 4.95, 2.0, -0.00466
25, 1, 7.0, 3.4, 0.09, 0.07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.6, 4.95, 2.0,  -0.00574
25, 1, 7.0, 3.4, 0.085, 0.055, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015, 0.6, 4.95, 2.0, -0.01201
25, 1, 7.0, 3.4, 0.08, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.6, 4.95, 2.0, -0.0128
25, 1, 7.0, 3.4, 0.075, 0.025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.025, 0.6, 4.95, 2.0, -0.01378
25, 1, 7.0, 3.4, 0.0667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0333, 0.6, 4.95, 2.0, -0.01729
25, 1, 7.0, 0.0, 0.1, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6, 4.95, 2.0, 0.014
25, 1, 7.0, 0.0, 0.095, 0.085, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005, 0.6, 4.95, 2.0, 0.01419
25, 1, 7.0, 0.0, 0.09, 0.07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.6, 4.95, 2.0, 0.01322
25, 1, 7.0, 0.0, 0.085, 0.055, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015, 0.6, 4.95, 2.0, 0.012
25, 1, 7.0, 0.0, 0.08, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.6, 4.95, 2.0, 0.0088
25, 1, 7.0, 0.0, 0.075, 0.025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.025, 0.6, 4.95, 2.0, 0.0068
25, 1, 7.0, 0.0, 0.0667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0333, 0.6, 4.95, 2.0, 0.00309
25, 1, 7.0, 3.4, 0.085, 0.095, 0.0, 0.005, 0.0, 0.0, 0.0, 0.0, 0.6, 4.95, 2.0, 0.01703
25, 1, 7.0, 3.4, 0.07, 0.09, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.6, 4.95, 2.0, 0.020
25, 1, 7.0, 3.4, 0.055, 0.085, 0.0, 0.015, 0.0, 0.0, 0.0, 0.0, 0.6, 4.95, 2.0, 0.0225
25, 1, 7.0, 3.4, 0.04, 0.08, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.6, 4.95, 2.0, 0.0233
25, 1, 7.0, 3.4, 0.025, 0.075, 0.0, 0.025, 0.0, 0.0, 0.0, 0.0, 0.6, 4.95, 2.0, 0.02492
25, 1, 7.0, 3.4, 0.0, 0.0667, 0.0, 0.0333, 0.0, 0.0, 0.0, 0.0, 0.6, 4.95, 2.0, 0.02495
25, 1, 7.0, 0.0, 0.085, 0.095, 0.0, 0.005, 0.0, 0.0, 0.0, 0.0, 0.6, 4.95, 2.0, 0.01903
25, 1, 7.0, 0.0, 0.07, 0.09, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.6, 4.95, 2.0, 0.021
25, 1, 7.0, 0.0, 0.055, 0.085, 0.0, 0.015, 0.0, 0.0, 0.0, 0.0, 0.6, 4.95, 2.0, 0.0233
25, 1, 7.0, 0.0, 0.04, 0.08, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.6, 4.95, 2.0, 0.02337
25, 1, 7.0, 0.0, 0.025, 0.075, 0.0, 0.025, 0.0, 0.0, 0.0, 0.0, 0.6, 4.95, 2.0, 0.02344
25, 1, 7.0, 0.0, 0.0, 0.0667, 0.0, 0.0333, 0.0, 0.0, 0.0, 0.0, 0.6, 4.95, 2.0, 0.02303
25, 1, 7.0, 3.4, 0.085, 0.095, 0.005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6, 4.95, 2.0, 0.01310
25, 1, 7.0, 3.4, 0.07, 0.09, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6, 4.95, 2.0, 0.01691
25, 1, 7.0, 3.4, 0.055, 0.085, 0.015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6, 4.95, 2.0, 0.0190
25, 1, 7.0, 3.4, 0.04, 0.08, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6, 4.95, 2.0, 0.020
25, 1, 7.0, 3.4, 0.025, 0.075, 0.025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6, 4.95, 2.0, 0.02154
25, 1, 7.0, 3.4, 0.0, 0.0667, 0.0333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6, 4.95, 2.0, 0.02281
25, 1, 7.0, 0.0, 0.085, 0.095, 0.005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6, 4.95, 2.0, 0.0155
25, 1, 7.0, 0.0, 0.07, 0.09, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6, 4.95, 2.0, 0.01745
